1731 [0, 2, 0, 2, 2, 0, 0, 1, 1, 2, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 2, 2, 0, 0, 2, 1, 2]
1196 [0, 2, 0, 2, 1, 2, 0, 2, 1, 2, 0, 2, 0, 2, 2, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 0, 0]
1377 [0, 2, 0, 1, 2, 0, 0, 2, 1, 2, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 2, 0, 0, 2, 1, 0, 1]
1216 [0, 2, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 2, 0, 0, 1, 2, 2, 0, 1, 2, 0, 2, 1, 0, 1, 2]
1028 [0, 2, 0, 1, 0, 2, 0, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 1, 0, 1, 2, 2, 0, 0, 0, 2, 2]
1747 [0, 2, 0, 2, 2, 0, 0, 1, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 1]
1929 [0, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, 2, 1, 1, 2, 2, 2]
1782 [0, 2, 0, 1, 2, 2, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 1, 0, 0, 1, 0]
1758 [0, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 2, 1]
1737 [0, 2, 0, 2, 2, 0, 0, 1, 1, 2, 2, 0, 1, 1, 2, 2, 0, 1, 0, 2, 2, 2, 0, 1, 1, 2, 1]
1746 [0, 0, 1, 2, 2, 0, 2, 0, 1, 2, 1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0]
1746 [0, 0, 1, 2, 2, 0, 2, 0, 1, 2, 1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0]
1747 [0, 2, 0, 2, 2, 0, 0, 1, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 1]
1746 [0, 2, 0, 2, 0, 0, 2, 0, 1, 0, 1, 1, 2, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 0]
2046 [0, 0, 1, 2, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1, 2, 0, 1, 2, 0, 1, 0, 2, 1, 2, 2, 1, 2]
2792 [0, 0, 1, 2, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2, 1, 2, 2, 1, 2]
3794 [0, 2, 0, 2, 2, 1, 0, 1, 2, 2, 2, 1, 1, 0, 2, 1, 2, 0, 0, 1, 2, 0, 1, 2, 1, 0, 1]
